ticker,date,open,high,low,close,volume,dividend,split,adj_open,adj_high,adj_low,adj_close,adj_volume
SPY,8/13/93,45.0937,45.1562,45.0937,45.125,103500,0,1,25.77842826,25.81415724,25.77842826,25.79632134,103500
SPY,8/16/93,45.1562,45.5,45.1562,45.375,241800,0,1,25.81415724,26.0106952,25.81415724,25.93923724,241800
SPY,8/17/93,45.3437,45.5312,45.3437,45.5312,369300,0,1,25.92134417,26.0285311,25.92134417,26.0285311,369300
SPY,8/18/93,45.6875,45.875,45.6562,45.7812,414300,0,1,26.11788213,26.22506906,26.09998906,26.17144701,414300
SPY,8/19/93,45.8125,45.8125,45.7187,45.7812,28500,0,1,26.18934008,26.18934008,26.13571803,26.17144701,28500
SPY,8/20/93,45.6875,45.8125,45.6562,45.8125,80700,0,1,26.11788213,26.18934008,26.09998906,26.18934008,80700
SPY,8/23/93,45.625,45.75,45.625,45.7187,15600,0,1,26.08215315,26.15361111,26.08215315,26.13571803,15600
SPY,8/24/93,45.7187,46.2187,45.7187,46.2187,273400,0,1,26.13571803,26.42154985,26.13571803,26.42154985,273400
SPY,8/25/93,46.2187,46.4375,46.1562,46.25,242300,0,1,26.42154985,26.54662985,26.38582087,26.43944292,242300
SPY,8/26/93,46.2812,46.5312,46.0937,46.2812,120000,0,1,26.45727883,26.60019473,26.3500919,26.45727883,120000
SPY,8/27/93,46.1562,46.25,46.1562,46.25,25700,0,1,26.38582087,26.43944292,26.38582087,26.43944292,25700
SPY,8/30/93,46.2812,46.5,46.2812,46.4375,183500,0,1,26.45727883,26.58235883,26.45727883,26.54662985,183500
SPY,8/31/93,46.4062,46.5625,46.3437,46.5625,66500,0,1,26.52873678,26.61808781,26.4930078,26.61808781,66500
SPY,9/1/93,46.4062,46.5937,46.4062,46.5,136500,0,1,26.52873678,26.63592371,26.52873678,26.58235883,136500
SPY,9/2/93,46.5312,46.5937,46.3125,46.3437,472400,0,1,26.60019473,26.63592371,26.4751719,26.4930078,472400
SPY,9/3/93,46.3125,46.4375,46.25,46.375,630500,0,1,26.4751719,26.54662985,26.43944292,26.51090087,630500
SPY,9/7/93,46.375,46.4375,46,46.0625,196400,0,1,26.51090087,26.54662985,26.29652701,26.33225599,196400
SPY,9/8/93,46.0625,46.0625,45.5937,45.9062,269900,0,1,26.33225599,26.33225599,26.06426008,26.24290496,269900
SPY,9/9/93,45.7187,46.0312,45.7187,46,239200,0,1,26.13571803,26.31436292,26.13571803,26.29652701,239200
SPY,9/10/93,46.125,46.4375,46.0625,46.4062,106500,0,1,26.36798497,26.54662985,26.33225599,26.52873678,106500
SPY,9/13/93,46.5625,46.5625,46.4375,46.4375,66900,0,1,26.61808781,26.61808781,26.54662985,26.54662985,66900
SPY,9/14/93,46.3125,46.3125,46.0937,46.25,184500,0,1,26.4751719,26.4751719,26.3500919,26.43944292,184500
SPY,9/15/93,46.0625,46.4062,45.9062,46.375,101000,0,1,26.33225599,26.52873678,26.24290496,26.51090087,101000
SPY,9/16/93,46.3125,46.3437,46.1562,46.1875,54300,0,1,26.4751719,26.4930078,26.38582087,26.40371394,54300
SPY,9/17/93,45.875,45.9062,45.75,45.8125,200900,0.286,1,26.38878791,26.40673516,26.31688385,26.35283588,200900
SPY,9/20/93,45.875,45.9687,45.4375,45.4375,57800,0,1,26.38878791,26.44268719,26.13712372,26.13712372,57800
SPY,9/21/93,45.5,45.5625,44.8125,45.2812,318200,0,1,26.17307575,26.20902777,25.77760345,26.04721489,318200
SPY,9/22/93,45.4375,45.7187,45.375,45.6562,439700,0,1,26.13712372,26.29887908,26.10117169,26.26292705,439700
SPY,9/23/93,45.7812,45.9375,45.7187,45.9062,88500,0,1,26.33483111,26.42473994,26.29887908,26.40673516,88500
SPY,9/24/93,45.8437,45.875,45.7187,45.7812,53500,0,1,26.37078313,26.38878791,26.29887908,26.33483111,53500
SPY,9/27/93,46.125,46.2812,46.125,46.2812,274600,0,1,26.53259602,26.62244732,26.53259602,26.62244732,274600
SPY,9/28/93,46.3125,46.3125,46.1562,46.1875,158300,0,1,26.6404521,26.6404521,26.55054327,26.56854804,158300
SPY,9/29/93,46.1875,46.3125,45.9687,46.0312,221000,0,1,26.56854804,26.6404521,26.44268719,26.47863921,221000
SPY,9/30/93,46.0312,46.125,45.8437,45.9375,99300,0,1,26.47863921,26.53259602,26.37078313,26.42473994,99300
SPY,10/1/93,45.875,46.2187,45.8125,46.1562,22700,0,1,26.38878791,26.5864953,26.35283588,26.55054327,22700
SPY,10/4/93,46.2187,46.2187,46.0937,46.2187,1038500,0,1,26.5864953,26.5864953,26.51459124,26.5864953,1038500
SPY,10/5/93,46.3125,46.3125,46,46.1562,436500,0,1,26.6404521,26.6404521,26.46069196,26.55054327,436500
SPY,10/7/93,46.1875,46.1875,45.9687,46,59400,0,1,26.56854804,26.56854804,26.44268719,26.46069196,59400
SPY,10/8/93,46.125,46.1562,45.7187,46.0625,54400,0,1,26.53259602,26.55054327,26.29887908,26.49664399,54400
SPY,10/11/93,46.1562,46.25,46.1562,46.1562,467100,0,1,26.55054327,26.60450007,26.55054327,26.55054327,467100
